"";"Escaños";"Partido";"mes";"rank"
"1";30;"PP";"2017-07";22,5
"2";30;"PP";"2017-07";22,5
"3";30;"PP";"2017-07";22,5
"4";30;"PP";"2017-07";22,5
"5";30;"PP";"2017-07";22,5
"6";30;"PP";"2017-07";22,5
"7";30;"PP";"2017-07";22,5
"8";30;"PP";"2017-07";22,5
"9";30,1;"PP";"2017-07";11,5
"10";30,1;"PP";"2017-07";11,5
"11";30,1;"PP";"2017-07";11,5
"12";30,1;"PP";"2017-07";11,5
"13";30,1;"PP";"2017-07";11,5
"14";30,1;"PP";"2017-07";11,5
"15";30,1;"PP";"2017-07";11,5
"16";30,1;"PP";"2017-07";11,5
"17";30,1;"PP";"2017-07";11,5
"18";30,1;"PP";"2017-07";11,5
"19";30,1;"PP";"2017-07";11,5
"20";30,1;"PP";"2017-07";11,5
"21";30,1;"PP";"2017-07";11,5
"22";30,1;"PP";"2017-07";11,5
"23";30,3;"PP";"2017-07";2,5
"24";30,3;"PP";"2017-07";2,5
"25";30,3;"PP";"2017-07";2,5
"26";30,3;"PP";"2017-07";2,5
"27";30,3;"PP";"2017-08";2,5
"28";30,3;"PP";"2017-08";2,5
"29";30,3;"PP";"2017-08";2,5
"30";30,3;"PP";"2017-08";2,5
"31";29,5;"PP";"2017-08";7,5
"32";29,5;"PP";"2017-08";7,5
"33";29,5;"PP";"2017-08";7,5
"34";29,5;"PP";"2017-08";7,5
"35";29,5;"PP";"2017-08";7,5
"36";29,5;"PP";"2017-08";7,5
"37";29,3;"PP";"2017-08";21
"38";29,3;"PP";"2017-08";21
"39";29,3;"PP";"2017-08";21
"40";29,3;"PP";"2017-08";21
"41";29,3;"PP";"2017-08";21
"42";29,3;"PP";"2017-08";21
"43";29,3;"PP";"2017-08";21
"44";29,3;"PP";"2017-08";21
"45";29,3;"PP";"2017-08";21
"46";29,3;"PP";"2017-08";21
"47";29,3;"PP";"2017-08";21
"48";29,3;"PP";"2017-08";21
"49";29,3;"PP";"2017-08";21
"50";29,3;"PP";"2017-08";21
"51";29,3;"PP";"2017-08";21
"52";29,3;"PP";"2017-08";21
"53";29,3;"PP";"2017-08";21
"54";29,3;"PP";"2017-08";21
"55";29,3;"PP";"2017-08";21
"56";29,3;"PP";"2017-08";21
"57";29,3;"PP";"2017-08";21
"58";29,5;"PP";"2017-09";27
"59";29,5;"PP";"2017-09";27
"60";29,5;"PP";"2017-09";27
"61";29,5;"PP";"2017-09";27
"62";29,5;"PP";"2017-09";27
"63";29,5;"PP";"2017-09";27
"64";29,5;"PP";"2017-09";27
"65";29,8;"PP";"2017-09";13
"66";29,8;"PP";"2017-09";13
"67";29,8;"PP";"2017-09";13
"68";29,8;"PP";"2017-09";13
"69";29,8;"PP";"2017-09";13
"70";29,8;"PP";"2017-09";13
"71";29,8;"PP";"2017-09";13
"72";29,6;"PP";"2017-09";20
"73";29,6;"PP";"2017-09";20
"74";29,6;"PP";"2017-09";20
"75";29,6;"PP";"2017-09";20
"76";29,6;"PP";"2017-09";20
"77";29,6;"PP";"2017-09";20
"78";29,6;"PP";"2017-09";20
"79";30,1;"PP";"2017-09";5
"80";30,1;"PP";"2017-09";5
"81";30,1;"PP";"2017-09";5
"82";30,1;"PP";"2017-09";5
"83";30,1;"PP";"2017-09";5
"84";30,1;"PP";"2017-09";5
"85";30,1;"PP";"2017-09";5
"86";30,1;"PP";"2017-09";5
"87";30,1;"PP";"2017-09";5
"88";30,1;"PP";"2017-10";1
"89";29,3;"PP";"2017-10";6
"90";29,3;"PP";"2017-10";6
"91";29,3;"PP";"2017-10";6
"92";29,3;"PP";"2017-10";6
"93";29,3;"PP";"2017-10";6
"94";29,3;"PP";"2017-10";6
"95";29,3;"PP";"2017-10";6
"96";28,6;"PP";"2017-10";28
"97";28,6;"PP";"2017-10";28
"98";28,6;"PP";"2017-10";28
"99";28,6;"PP";"2017-10";28
"100";28,6;"PP";"2017-10";28
"101";28,6;"PP";"2017-10";28
"102";28,6;"PP";"2017-10";28
"103";29;"PP";"2017-10";13
"104";29;"PP";"2017-10";13
"105";29;"PP";"2017-10";13
"106";29;"PP";"2017-10";13
"107";29;"PP";"2017-10";13
"108";29;"PP";"2017-10";13
"109";29;"PP";"2017-10";13
"110";28,9;"PP";"2017-10";20,5
"111";28,9;"PP";"2017-10";20,5
"112";28,9;"PP";"2017-10";20,5
"113";28,9;"PP";"2017-10";20,5
"114";28,9;"PP";"2017-10";20,5
"115";28,9;"PP";"2017-10";20,5
"116";28,9;"PP";"2017-10";20,5
"117";28,9;"PP";"2017-10";20,5
"118";29,4;"PP";"2017-10";2
"119";29,4;"PP";"2017-11";4
"120";29,4;"PP";"2017-11";4
"121";29,4;"PP";"2017-11";4
"122";29,4;"PP";"2017-11";4
"123";29,4;"PP";"2017-11";4
"124";29,4;"PP";"2017-11";4
"125";29,4;"PP";"2017-11";4
"126";29;"PP";"2017-11";12
"127";29;"PP";"2017-11";12
"128";29;"PP";"2017-11";12
"129";29;"PP";"2017-11";12
"130";29;"PP";"2017-11";12
"131";29;"PP";"2017-11";12
"132";29;"PP";"2017-11";12
"133";29;"PP";"2017-11";12
"134";29;"PP";"2017-11";12
"135";28,8;"PP";"2017-11";21,5
"136";28,8;"PP";"2017-11";21,5
"137";28,8;"PP";"2017-11";21,5
"138";28,8;"PP";"2017-11";21,5
"139";28,8;"PP";"2017-11";21,5
"140";28,8;"PP";"2017-11";21,5
"141";28,8;"PP";"2017-11";21,5
"142";28,8;"PP";"2017-11";21,5
"143";28,8;"PP";"2017-11";21,5
"144";28,8;"PP";"2017-11";21,5
"145";28,5;"PP";"2017-11";28,5
"146";28,5;"PP";"2017-11";28,5
"147";28,5;"PP";"2017-11";28,5
"148";28,5;"PP";"2017-11";28,5
"149";28,5;"PP";"2017-12";2,5
"150";28,5;"PP";"2017-12";2,5
"151";28,5;"PP";"2017-12";2,5
"152";28,5;"PP";"2017-12";2,5
"153";28,1;"PP";"2017-12";8
"154";28,1;"PP";"2017-12";8
"155";28,1;"PP";"2017-12";8
"156";28,1;"PP";"2017-12";8
"157";28,1;"PP";"2017-12";8
"158";28,1;"PP";"2017-12";8
"159";28,1;"PP";"2017-12";8
"160";28;"PP";"2017-12";18
"161";28;"PP";"2017-12";18
"162";28;"PP";"2017-12";18
"163";28;"PP";"2017-12";18
"164";28;"PP";"2017-12";18
"165";28;"PP";"2017-12";18
"166";28;"PP";"2017-12";18
"167";28;"PP";"2017-12";18
"168";28;"PP";"2017-12";18
"169";28;"PP";"2017-12";18
"170";28;"PP";"2017-12";18
"171";28;"PP";"2017-12";18
"172";28;"PP";"2017-12";18
"173";26,9;"PP";"2017-12";28
"174";26,9;"PP";"2017-12";28
"175";26,9;"PP";"2017-12";28
"176";26,9;"PP";"2017-12";28
"177";26,9;"PP";"2017-12";28
"178";26,9;"PP";"2017-12";28
"179";26,9;"PP";"2017-12";28
"180";26,9;"PP";"2018-01";16
"181";26,9;"PP";"2018-01";16
"182";26,9;"PP";"2018-01";16
"183";26,9;"PP";"2018-01";16
"184";26,9;"PP";"2018-01";16
"185";26,9;"PP";"2018-01";16
"186";26,9;"PP";"2018-01";16
"187";26,9;"PP";"2018-01";16
"188";26,9;"PP";"2018-01";16
"189";26,9;"PP";"2018-01";16
"190";26,9;"PP";"2018-01";16
"191";26,9;"PP";"2018-01";16
"192";26,9;"PP";"2018-01";16
"193";26,9;"PP";"2018-01";16
"194";26,9;"PP";"2018-01";16
"195";26,9;"PP";"2018-01";16
"196";26,9;"PP";"2018-01";16
"197";26,9;"PP";"2018-01";16
"198";26,9;"PP";"2018-01";16
"199";26,9;"PP";"2018-01";16
"200";26,9;"PP";"2018-01";16
"201";26,9;"PP";"2018-01";16
"202";26,9;"PP";"2018-01";16
"203";26,9;"PP";"2018-01";16
"204";26,9;"PP";"2018-01";16
"205";26,9;"PP";"2018-01";16
"206";26,9;"PP";"2018-01";16
"207";26,9;"PP";"2018-01";16
"208";26,9;"PP";"2018-01";16
"209";26,9;"PP";"2018-01";16
"210";26,9;"PP";"2018-01";16
"211";26,9;"PP";"2018-02";1
"212";24,9;"PP";"2018-02";16,5
"213";24,9;"PP";"2018-02";16,5
"214";24,9;"PP";"2018-02";16,5
"215";24,9;"PP";"2018-02";16,5
"216";24,9;"PP";"2018-02";16,5
"217";24,9;"PP";"2018-02";16,5
"218";24,9;"PP";"2018-02";16,5
"219";25,1;"PP";"2018-02";6,5
"220";25,1;"PP";"2018-02";6,5
"221";25,1;"PP";"2018-02";6,5
"222";25,1;"PP";"2018-02";6,5
"223";25,1;"PP";"2018-02";6,5
"224";25,1;"PP";"2018-02";6,5
"225";25,1;"PP";"2018-02";6,5
"226";25,1;"PP";"2018-02";6,5
"227";25,1;"PP";"2018-02";6,5
"228";25,1;"PP";"2018-02";6,5
"229";24,8;"PP";"2018-02";25
"230";24,8;"PP";"2018-02";25
"231";24,8;"PP";"2018-02";25
"232";24,8;"PP";"2018-02";25
"233";24,8;"PP";"2018-02";25
"234";24,8;"PP";"2018-02";25
"235";24,8;"PP";"2018-02";25
"236";24,9;"PP";"2018-02";16,5
"237";24,9;"PP";"2018-02";16,5
"238";24,9;"PP";"2018-02";16,5
"239";24,9;"PP";"2018-03";23,5
"240";24,9;"PP";"2018-03";23,5
"241";24,9;"PP";"2018-03";23,5
"242";24,9;"PP";"2018-03";23,5
"243";25,3;"PP";"2018-03";4
"244";25,3;"PP";"2018-03";4
"245";25,3;"PP";"2018-03";4
"246";25,3;"PP";"2018-03";4
"247";25,3;"PP";"2018-03";4
"248";25,3;"PP";"2018-03";4
"249";25,3;"PP";"2018-03";4
"250";25,1;"PP";"2018-03";11
"251";25,1;"PP";"2018-03";11
"252";25,1;"PP";"2018-03";11
"253";25,1;"PP";"2018-03";11
"254";25,1;"PP";"2018-03";11
"255";25,1;"PP";"2018-03";11
"256";25,1;"PP";"2018-03";11
"257";25;"PP";"2018-03";18
"258";25;"PP";"2018-03";18
"259";25;"PP";"2018-03";18
"260";25;"PP";"2018-03";18
"261";25;"PP";"2018-03";18
"262";25;"PP";"2018-03";18
"263";25;"PP";"2018-03";18
"264";24,8;"PP";"2018-03";28,5
"265";24,8;"PP";"2018-03";28,5
"266";24,8;"PP";"2018-03";28,5
"267";24,8;"PP";"2018-03";28,5
"268";24,8;"PP";"2018-03";28,5
"269";24,8;"PP";"2018-03";28,5
"270";24,8;"PP";"2018-04";19,5
"271";24,7;"PP";"2018-04";27
"272";24,7;"PP";"2018-04";27
"273";24,7;"PP";"2018-04";27
"274";24,7;"PP";"2018-04";27
"275";24,7;"PP";"2018-04";27
"276";24,7;"PP";"2018-04";27
"277";24,7;"PP";"2018-04";27
"278";24,2;"PP";"2018-04";49
"279";24,2;"PP";"2018-04";49
"280";24,2;"PP";"2018-04";49
"281";24,2;"PP";"2018-04";49
"282";24,2;"PP";"2018-04";49
"283";24,2;"PP";"2018-04";49
"284";24,2;"PP";"2018-04";49
"285";24,4;"PP";"2018-04";41
"286";24,4;"PP";"2018-04";41
"287";24,4;"PP";"2018-04";41
"288";24,4;"PP";"2018-04";41
"289";24,4;"PP";"2018-04";41
"290";24,4;"PP";"2018-04";41
"291";24,4;"PP";"2018-04";41
"292";24,1;"PP";"2018-04";56,5
"293";24,1;"PP";"2018-04";56,5
"294";24,1;"PP";"2018-04";56,5
"295";24,1;"PP";"2018-04";56,5
"296";24,1;"PP";"2018-04";56,5
"297";24,1;"PP";"2018-04";56,5
"298";24,1;"PP";"2018-04";56,5
"299";24,1;"PP";"2018-04";56,5
"300";24,1;"PP";"2018-05";34,5
